Date, Cases, Deaths, Avg Temperatures, Avg Dewpoints, Avg Humidities, Avg Windspeeds, Avg Pressures
2020-05-01, 3, 0, 70.2, 33.2, 27.1, 11.6, 29.6
2020-05-02, 3, 0, 69.2, 46.5, 46.9, 11.8, 29.7
2020-05-03, 3, 0, 67.6, 46.4, 51.3, 11.3, 29.7
2020-05-04, 3, 0, 69.1, 37.4, 35.5, 6.2, 29.7
2020-05-05, 3, 0, 73.2, 39.2, 32.8, 8.2, 29.7
2020-05-06, 3, 0, 70.5, 42.6, 40.1, 11.6, 29.7
2020-05-07, 3, 0, 74.6, 41.3, 32.3, 4.5, 29.6
2020-05-08, 3, 0, 80.3, 49.1, 37.3, 5.1, 29.5
2020-05-09, 3, 0, 81.8, 48.6, 35.0, 6.5, 29.5
2020-05-10, 3, 0, 77.4, 44.7, 34.6, 7.1, 29.5
2020-05-11, 3, 0, 72.0, 35.6, 30.7, 6.8, 29.6
2020-05-12, 3, 0, 67.0, 43.6, 43.8, 8.8, 29.6
2020-05-13, 4, 0, 65.8, 42.1, 45.6, 10.6, 29.7
2020-05-14, 4, 0, 68.3, 44.8, 45.2, 14.6, 29.7
2020-05-15, 4, 0, 69.0, 48.0, 50.2, 12.0, 29.7
2020-05-16, 5, 0, 73.0, 47.0, 42.3, 6.3, 29.5
2020-05-17, 8, 0, 72.2, 50.5, 49.0, 8.7, 29.5
2020-05-18, 8, 0, 63.0, 51.8, 68.7, 8.2, 29.6
2020-05-19, 14, 0, 62.0, 44.4, 55.0, 8.9, 29.6
2020-05-20, 15, 0, 63.5, 41.7, 48.9, 7.8, 29.7
2020-05-21, 20, 0, 71.5, 47.4, 45.5, 6.7, 29.6
2020-05-22, 23, 0, 71.8, 40.7, 35.4, 11.7, 29.5
2020-05-23, 23, 0, 70.5, 38.6, 34.2, 5.9, 29.5
2020-05-24, 23, 0, 76.5, 41.3, 30.3, 5.8, 29.6
2020-05-25, 37, 0, 83.0, 47.0, 30.8, 5.0, 29.5
2020-05-26, 40, 0, 88.2, 50.3, 28.9, 4.8, 29.5
2020-05-27, 43, 0, 91.0, 53.2, 29.7, 7.4, 29.5
2020-05-28, 44, 0, 89.4, 52.9, 32.1, 7.5, 29.4
2020-05-29, 45, 0, 82.5, 51.0, 35.6, 6.2, 29.4
